GENE,class
ompA,Protectins
entA,Toxins
entB,Toxins
fepC,Iron-uptake
yagV/ecpE,Adhesins 
yagW/ecpD,Adhesins 
yagX/ecpC,Adhesins 
yagY/ecpB,Adhesins 
yagZ/ecpA,Adhesins 
ykgK/ecpR,Adhesins 
fyuA,Iron-uptake
ybtE,Iron-uptake
ybtT,Iron-uptake
ybtU,Iron-uptake
irp1,Iron-uptake
irp2,Iron-uptake
ybtA,Iron-uptake
ybtP,Iron-uptake
ybtQ,Iron-uptake
ybtX,Iron-uptake
ybtS,Iron-uptake
kpsD,Protectins
kpsT,Protectins
kpsM,Protectins
gspM,Toxins
gspL,Toxins
gspK,Toxins
gspJ,Toxins
gspI,Toxins
gspH,Toxins
gspG,Toxins
gspF,Toxins
gspE,Toxins
gspD,Toxins
gspC,Toxins
chuS,Iron-uptake
chuA,Iron-uptake
chuT,Iron-uptake
chuW,Iron-uptake
chuX,Iron-uptake
chuY,Iron-uptake
chuU,Iron-uptake
chuV,Iron-uptake
aslA,Iron-uptake
senB,Toxins
papX,Adhesins 
papB,Adhesins 
papI,Adhesins 
iucA,Iron-uptake
iucB,Iron-uptake
iucC,Iron-uptake
iucD,Iron-uptake
iutA,Iron-uptake
sat,Toxins
vat,Iron-uptake
fdeC,Adhesins 
entD,Toxins
fepA,Iron-uptake
fes,Iron-uptake
entF,Toxins
fepG,Iron-uptake
fepD,Iron-uptake
entS,Toxins
fepB,Iron-uptake
entC,Toxins
entE,Toxins
csgG,Adhesins 
csgF,Adhesins 
csgD,Adhesins 
csgB,Adhesins 
fimB,Adhesins 
fimE,Adhesins 
fimA,Adhesins 
fimI,Adhesins 
fimC,Adhesins 
fimD,Adhesins 
fimF,Adhesins 
fimG,Adhesins 
fimH,Adhesins 
daaF,Adhesins 
draA,Adhesins 
afaB-I,Adhesins 
afaC-I,Adhesins 
draD,Adhesins 
draP,Adhesins 
draE2,Adhesins 
hha,Iron-uptake
