#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
FSBL0558_hybracter.fasta,chromosome00001,4240036,4240619,-,yagZ/ecpA,1-584/588,===============,0/0,99.32,90.07,vfdb,NP_286010,(yagZ/ecpA) E. coli common pilus structural subunit EcpA [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933],
FSBL1386_hybracter.fasta,chromosome00001,1839478,1841499,-,fyuA,1-2022/2022,===============,0/0,100,99.8,vfdb,NP_405467,(fyuA) pesticin/yersiniabactin receptor protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1386_hybracter.fasta,chromosome00001,1841630,1843207,-,ybtE,1-1578/1578,===============,0/0,100,99.87,vfdb,NP_405468,(ybtE) yersiniabactin siderophore biosynthetic protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1386_hybracter.fasta,chromosome00001,1843211,1844014,-,ybtT,1-804/804,===============,0/0,100,99.63,vfdb,NP_405469,(ybtT) yersiniabactin biosynthetic protein YbtT [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1386_hybracter.fasta,chromosome00001,1844011,1845111,-,ybtU,1-1101/1101,===============,0/0,100,99.73,vfdb,NP_405470,(ybtU) yersiniabactin biosynthetic protein YbtU [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1386_hybracter.fasta,chromosome00001,1845108,1854599,-,irp1,1-9492/9492,===============,0/0,100,99.82,vfdb,NP_405471,(irp1) yersiniabactin biosynthetic protein Irp1 [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1386_hybracter.fasta,chromosome00001,1854687,1860794,-,irp2,1-6108/6108,===============,0/0,100,99.79,vfdb,NP_405472,(irp2) yersiniabactin biosynthetic protein Irp2 [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1386_hybracter.fasta,chromosome00001,1860985,1861944,-,ybtA,1-960/960,===============,0/0,100,99.9,vfdb,NP_405473,(ybtA) transcriptional regulator YbtA [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1386_hybracter.fasta,chromosome00001,1862111,1863913,+,ybtP,1-1803/1803,===============,0/0,100,99.78,vfdb,NP_405474,(ybtP) lipoprotein inner membrane ABC-transporter [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1386_hybracter.fasta,chromosome00001,1863900,1865702,+,ybtQ,1-1803/1803,===============,0/0,100,99.78,vfdb,NP_405475,(ybtQ) inner membrane ABC-transporter YbtQ [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1386_hybracter.fasta,chromosome00001,1865695,1866975,+,ybtX,1-1281/1281,===============,0/0,100,99.92,vfdb,NP_405476,(ybtX) putative signal transducer [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1386_hybracter.fasta,chromosome00001,1867003,1868307,+,ybtS,1-1305/1305,===============,0/0,100,99.69,vfdb,NP_405477,(ybtS) salicylate synthase Irp9 [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1386_hybracter.fasta,chromosome00001,4172169,4172752,-,yagZ/ecpA,1-584/588,===============,0/0,99.32,90.07,vfdb,NP_286010,(yagZ/ecpA) E. coli common pilus structural subunit EcpA [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933],
FSBL1448_flye.fasta,contig_1,780837,782858,-,fyuA,1-2022/2022,===============,0/0,100,99.95,vfdb,NP_405467,(fyuA) pesticin/yersiniabactin receptor protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1448_flye.fasta,contig_1,782989,784566,-,ybtE,1-1578/1578,===============,0/0,100,99.94,vfdb,NP_405468,(ybtE) yersiniabactin siderophore biosynthetic protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1448_flye.fasta,contig_1,784570,785373,-,ybtT,1-804/804,===============,0/0,100,99.25,vfdb,NP_405469,(ybtT) yersiniabactin biosynthetic protein YbtT [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1448_flye.fasta,contig_1,785370,786470,-,ybtU,1-1101/1101,===============,0/0,100,100,vfdb,NP_405470,(ybtU) yersiniabactin biosynthetic protein YbtU [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1448_flye.fasta,contig_1,786467,795958,-,irp1,1-9492/9492,===============,0/0,100,99.84,vfdb,NP_405471,(irp1) yersiniabactin biosynthetic protein Irp1 [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1448_flye.fasta,contig_1,796046,802153,-,irp2,1-6108/6108,===============,0/0,100,99.82,vfdb,NP_405472,(irp2) yersiniabactin biosynthetic protein Irp2 [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1448_flye.fasta,contig_1,802344,803303,-,ybtA,1-960/960,===============,0/0,100,99.9,vfdb,NP_405473,(ybtA) transcriptional regulator YbtA [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1448_flye.fasta,contig_1,803470,805272,+,ybtP,1-1803/1803,===============,0/0,100,99.83,vfdb,NP_405474,(ybtP) lipoprotein inner membrane ABC-transporter [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1448_flye.fasta,contig_1,805259,807061,+,ybtQ,1-1803/1803,===============,0/0,100,99.94,vfdb,NP_405475,(ybtQ) inner membrane ABC-transporter YbtQ [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1448_flye.fasta,contig_1,807054,808334,+,ybtX,1-1281/1281,===============,0/0,100,99.92,vfdb,NP_405476,(ybtX) putative signal transducer [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1448_flye.fasta,contig_1,808362,809666,+,ybtS,1-1305/1305,===============,0/0,100,99.92,vfdb,NP_405477,(ybtS) salicylate synthase Irp9 [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1448_flye.fasta,contig_1,3197567,3198150,-,yagZ/ecpA,1-584/588,===============,0/0,99.32,90.07,vfdb,NP_286010,(yagZ/ecpA) E. coli common pilus structural subunit EcpA [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933],
FSBL1654_hybracter.fasta,chromosome00001,581971,582573,+,fimB,1-603/603,===============,0/0,100,98.18,vfdb,NP_757239,(fimB) Type 1 fimbriae Regulatory protein fimB [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,583051,583647,+,fimE,1-597/597,===============,0/0,100,98.66,vfdb,NP_757240,(fimE) Type 1 fimbriae Regulatory protein fimE [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073],
