FSFC2258_chromosome00001 len=4939014 circular=true	4939014
FSFC2258_plasmid00001 length=92201 plasmid_copy_number_short=2.34x plasmid_copy_number_long=1.27x circular=true	92201
FSFC2258_plasmid00002 length=90944 plasmid_copy_number_short=3.19x plasmid_copy_number_long=2.04x circular=true	90944
FSFC2258_plasmid00003 length=5164 plasmid_copy_number_short=94.23x plasmid_copy_number_long=0.91x circular=true	5164
FSFC2258_plasmid00004 length=2125 plasmid_copy_number_short=254.87x plasmid_copy_number_long=0.0x circular=true	2125
